,open,high,low,close,adjclose,volume,ticker
2022-09-12,27.799999237060547,28.860000610351562,27.450000762939453,28.579999923706055,28.579999923706055,1758037,PZU.WA
2022-09-13,28.81999969482422,29.010000228881836,28.040000915527344,28.25,28.25,1851631,PZU.WA
2022-09-14,28.149999618530273,28.350000381469727,27.559999465942383,28.09000015258789,28.09000015258789,2739943,PZU.WA
2022-09-15,28.200000762939453,28.5,27.8799991607666,28.350000381469727,28.350000381469727,1233455,PZU.WA
2022-09-16,28.0,28.100000381469727,27.31999969482422,27.56999969482422,27.56999969482422,3768063,PZU.WA
2022-09-19,27.5,28.190000534057617,27.420000076293945,28.15999984741211,28.15999984741211,937895,PZU.WA
2022-09-20,28.329999923706055,28.649999618530273,27.649999618530273,27.649999618530273,27.649999618530273,1506987,PZU.WA
2022-09-21,27.850000381469727,28.09000015258789,27.510000228881836,27.799999237060547,27.799999237060547,1407463,PZU.WA
2022-09-22,27.5,28.440000534057617,27.309999465942383,28.290000915527344,28.290000915527344,1458796,PZU.WA
2022-09-23,28.290000915527344,28.389999389648438,27.200000762939453,27.440000534057617,27.440000534057617,1775081,PZU.WA
